Schedule,Steps,Success
Logarithmic,100,0.4296875
Logarithmic,172,0.7890625
Logarithmic,296,0.94921875
Logarithmic,509,0.97265625
Logarithmic,877,0.984375
Logarithmic,1509,0.9609375
Logarithmic,2598,0.9921875
Logarithmic,4472,0.97265625
Logarithmic,7696,0.96875
Logarithmic,13246,0.96875
Logarithmic,22797,0.96484375
Logarithmic,39234,0.99609375
Logarithmic,67523,0.9609375
Logarithmic,116209,0.9921875
Logarithmic,200000,0.98046875
Square Root,100,0.43359375
Square Root,172,0.7890625
Square Root,296,0.9296875
Square Root,509,0.95703125
Square Root,877,0.984375
Square Root,1509,0.984375
Square Root,2598,0.98828125
Square Root,4472,0.9921875
Square Root,7696,0.97265625
Square Root,13246,0.9765625
Square Root,22797,0.97265625
Square Root,39234,0.98828125
Square Root,67523,0.9921875
Square Root,116209,0.98046875
Square Root,200000,0.97265625
Linear,100,0.38671875
Linear,172,0.7734375
Linear,296,0.92578125
Linear,509,0.984375
Linear,877,0.98046875
Linear,1509,0.98828125
Linear,2598,0.984375
Linear,4472,0.97265625
Linear,7696,0.9921875
Linear,13246,0.96875
Linear,22797,0.98046875
Linear,39234,0.99609375
Linear,67523,0.98828125
Linear,116209,0.9765625
Linear,200000,0.99609375
