Schedule,Steps,Success,c_param
Logarithmic,100,0.19921875,144.26950408889635
Logarithmic,172,0.41796875,99.93685187126843
Logarithmic,296,0.70703125,72.66153252192593
Logarithmic,509,0.787109375,55.351122895332296
Logarithmic,877,0.8046875,43.87280199536826
Logarithmic,1509,0.845703125,35.994555248989876
Logarithmic,2598,0.810546875,30.348130837025668
Logarithmic,4472,0.796875,26.160644193745632
Logarithmic,7696,0.802734375,22.95580889329931
Logarithmic,13246,0.814453125,20.43401100699386
Logarithmic,22797,0.794921875,18.404035226960357
Logarithmic,39234,0.759765625,16.7373138143829
Logarithmic,67523,0.794921875,15.34558270310216
Logarithmic,116209,0.802734375,14.166642570964859
Logarithmic,200000,0.798828125,13.155467320159444
Square Root,100,0.22265625,100.0
Square Root,172,0.48828125,76.24928516630233
Square Root,296,0.703125,58.12381937190964
Square Root,509,0.80859375,44.32422071779363
Square Root,877,0.84765625,33.767600672658716
Square Root,1509,0.830078125,25.742776142551403
Square Root,2598,0.806640625,19.61916079657376
Square Root,4472,0.833984375,14.95371511386448
Square Root,7696,0.806640625,11.399018814688828
Square Root,13246,0.8125,8.688756464668009
Square Root,22797,0.8046875,6.623097529760031
Square Root,39234,0.822265625,5.04857376480463
Square Root,67523,0.80078125,3.8483462062706857
Square Root,116209,0.8046875,2.9334596443062115
Square Root,200000,0.794921875,2.23606797749979
Linear,100,0.17578125,100.0
Linear,172,0.373046875,58.139534883720934
Linear,296,0.607421875,33.78378378378378
Linear,509,0.763671875,19.64636542239686
Linear,877,0.837890625,11.402508551881414
Linear,1509,0.81640625,6.626905235255136
Linear,2598,0.818359375,3.849114703618168
Linear,4472,0.826171875,2.23613595706619
Linear,7696,0.81640625,1.2993762993762992
Linear,13246,0.78125,0.7549448890231013
Linear,22797,0.822265625,0.4386542088871343
Linear,39234,0.806640625,0.254880970586736
Linear,67523,0.796875,0.1480976852331798
Linear,116209,0.80859375,0.08605185484773124
Linear,200000,0.79296875,0.05
